date,open,high,low,close,volume,Name
17-12-2013,109.63,109.88,108.03,108.46,847233,Tether
18-12-2013,108.85,109.56,106.88,109.27,1104462,Tether
19-12-2013,109.2,109.4788,107.75,108.4,623450,Tether
20-12-2013,108.51,109.96,108.51,109.36,1013949,Tether
23-12-2013,109.78,110.34,109.19,109.84,620027,Tether
24-12-2013,109.77,110.94,109.58,110.28,130712,Tether
26-12-2013,110.17,110.97,109.56,110.17,563408,Tether
27-12-2013,110.3,111.94,109.63,109.92,364175,Tether
30-12-2013,110.34,110.58,108.76,109.63,479664,Tether
31-12-2013,109.8,111.41,109.49,110.68,381268,Tether
02-01-2014,110.36,111.88,109.29,109.74,542711,Tether
03-01-2014,111.23,114.33,110.58,112.88,987718,Tether
06-01-2014,113.1,113.91,111.44,111.8,1030190,Tether
07-01-2014,111.98,113.4,111.63,113.18,922829,Tether
08-01-2014,112.47,113.615,111.91,112.3,777177,Tether
09-01-2014,113.06,114.22,112.71,113.55,486811,Tether
10-01-2014,114.28,115.797,113.64,115.64,678570,Tether
13-01-2014,115.45,115.99,113.77,114.29,941749,Tether
14-01-2014,115.4,117.99,113.82,117.6,819539,Tether
15-01-2014,117.65,119.54,116.71,117.47,978639,Tether
16-01-2014,117.22,118.25,116.15,117.88,609912,Tether
17-01-2014,117.81,119.02,117.085,118.44,692356,Tether
21-01-2014,119.73,120.31,117.96,118,821492,Tether
22-01-2014,118.39,118.7099,116.746,117.75,502024,Tether
23-01-2014,116.81,117.53,115.29,116.33,659085,Tether
24-01-2014,116,117.01,115.47,115.98,782086,Tether
27-01-2014,116.485,117.2,113.8,115.4,974299,Tether
28-01-2014,115.39,117.66,115.22,116.25,918455,Tether
29-01-2014,115.41,116.61,113.79,113.9,643865,Tether
30-01-2014,115,115.89,114.45,115.2,585785,Tether
31-01-2014,115.23,116.03,113.7,114.81,807498,Tether
03-02-2014,115.44,115.648,109.58,110.22,1327827,Tether
04-02-2014,110.97,112.11,110.1,110.25,1086059,Tether
05-02-2014,109.86,112.22,109.65,110.75,1719300,Tether
06-02-2014,121.5,127.09,120,124.86,3374211,Tether
07-02-2014,125.63,128.1,124.56,125,1697974,Tether
10-02-2014,124.52,125.43,123,123.32,1118532,Tether
11-02-2014,123.47,125.87,123.14,125.44,927637,Tether
12-02-2014,125.55,126.68,124.29,124.96,663320,Tether
13-02-2014,125.2,127,123.84,126.26,802294,Tether
14-02-2014,126.71,127.5,125.61,127.34,788744,Tether
18-02-2014,127.18,128.32,126.09,126.79,1020332,Tether
19-02-2014,126.54,127.482,125.725,125.94,1096160,Tether
20-02-2014,125.98,128.06,125.77,127.56,882740,Tether
21-02-2014,127.31,128.48,127.31,127.92,884094,Tether
24-02-2014,128.31,129.1,126.33,126.5,1050651,Tether
25-02-2014,126.64,127.83,125.38,125.5,823047,Tether
26-02-2014,126.09,126.82,124.5,125.79,1105495,Tether
27-02-2014,125.82,126.09,124.43,125.03,888073,Tether
28-02-2014,125.05,128.44,125.05,127.36,1037731,Tether
03-03-2014,125.92,127.18,125.13,126.28,777204,Tether
04-03-2014,128.33,129.99,126.16,126.42,1126458,Tether
05-03-2014,126.42,126.71,125.081,125.59,692736,Tether
06-03-2014,126.23,127.32,125.86,126.74,715091,Tether
07-03-2014,127.03,128.13,126.46,126.8,530257,Tether
10-03-2014,126.82,127.87,125.96,126.78,612844,Tether
11-03-2014,127.25,128.49,126.48,126.94,1022210,Tether
12-03-2014,125.86,127.01,125.26,126.49,985970,Tether
13-03-2014,126.91,126.91,123.81,124.56,754192,Tether
14-03-2014,124.45,125.48,123.87,124.6,521611,Tether
